actor_id,name,birth_year,death_year,primary_profession,known_for_titles
nm0001332,Robert Hays,1947,\N,"actor,producer,director","tt0080339,tt0083530,tt0426592,tt0088889"
nm0000558,Leslie Nielsen,1926,2010,"actor,producer,writer","tt0080339,tt0102510,tt0095705,tt0120901"
nm0666309,Lorna Patterson,1956,\N,"actress,soundtrack,archive_footage","tt0080339,tt0080225,tt0164386,tt0081918"
nm0821041,Robert Stack,1919,2003,"actor,producer,soundtrack","tt0049966,tt0035446,tt0080339,tt0078723"
nm0835992,Stephen Stucker,1947,1986,"actor,soundtrack","tt0080339,tt0083530,tt0086465,tt0081766"
nm10185194,Otto,\N,\N,\N,tt9060786
nm0000331,Chevy Chase,1943,\N,"actor,writer,producer","tt0104850,tt0085995,tt0080487,tt0092086"
nm0001098,Rodney Dangerfield,1921,2004,"actor,writer,producer","tt0090685,tt0102813,tt0080487,tt0085470"
nm0461095,Ted Knight,1923,1986,"actor,soundtrack,archive_footage","tt0065314,tt0080487,tt0069641,tt0055666"
nm0001574,Michael O'Keefe,1955,\N,"actor,director,soundtrack","tt0080487,tt0079239,tt0465538,tt0237572"
nm0000195,Bill Murray,1950,\N,"actor,writer,producer","tt0335266,tt0128445,tt1748122,tt0362270"
nm0390106,Sarah Holcomb,1958,\N,actress,"tt0080487,tt0077975,tt0080837,tt0080114"
nm0173082,Scott Colomby,1952,\N,"actor,miscellaneous,writer","tt0080487,tt0084522,tt0106697,tt0112864"
nm0604563,Cindy Morgan,1951,2023,"actress,producer,archive_footage","tt0080487,tt0084827,tt0081858,tt0075488"
nm0720274,Dan Resin,1931,2010,"actor,miscellaneous","tt0080487,tt0069180,tt0100211,tt0067174"
nm0928295,Henry Wilcoxon,1905,1984,"actor,producer,writer","tt0049833,tt0080487,tt0035093,tt0045125"
nm0658133,Betsy Palmer,1926,2015,"actress,miscellaneous,soundtrack","tt0080761,tt0082418,tt0462475,tt0048380"
nm0454415,Adrienne King,1955,\N,"actress,miscellaneous,producer","tt0080761,tt0082418,tt7798990,tt0111742"
nm0852551,Jeannine Taylor,1954,\N,"actress,miscellaneous,archive_footage","tt0080761,tt0048860,tt0084609,tt2396421"
nm0604987,Robbi Morgan,1961,\N,"actress,stunts,soundtrack","tt0080761,tt0095253,tt10726368,tt0067975"
nm0000102,Kevin Bacon,1958,\N,"actor,producer,director","tt0087277,tt0164052,tt0361127,tt0327056"
nm0188993,Harry Crosby,\N,\N,actor,tt0006325
nm0059324,Laurie Bartram,1958,2007,"actress,archive_footage","tt0080761,tt0068067,tt0057731"
nm0625588,Mark Nelson,\N,\N,"actor,archive_footage","tt0080761,tt0116313,tt0083470,tt0115376"
nm0112829,Peter Brouwer,1945,\N,"actor,archive_footage","tt0080761,tt1334512,tt0062595,tt1839578"
nm0263591,Rex Everhart,1920,2000,"actor,archive_footage","tt0080761,tt0101414,tt0078346,tt0070672"
nm0258931,Tom Erhart,1929,1996,actor,"tt0080455,tt0075223,tt0074964,tt0064684"
nm0909212,Gerald Walling,1928,2011,actor,tt0080455
nm0000004,John Belushi,1949,1982,"actor,writer,music_department","tt0072562,tt0077975,tt0080455,tt0078723"
nm0505979,Walter Levine,\N,\N,actor,"tt0080455,tt0118747,tt0067716,tt0099984"
nm0000101,Dan Aykroyd,1952,\N,"writer,actor,producer","tt0087332,tt0118747,tt0102558,tt0080455"
nm0293466,Kathleen Freeman,1923,2001,"actress,miscellaneous,soundtrack","tt0080455,tt0093260,tt0110622,tt0118747"
nm0130572,Cab Calloway,1907,1994,"actor,music_department,director","tt0080455,tt0110475,tt0421715,tt0036391"
nm0040551,Alonzo Atkins,\N,\N,"actor,archive_footage",tt0080455
nm0113768,James Brown,1933,2006,"music_artist,actor,composer","tt0080455,tt3626440,tt1853728,tt1599348"
nm0000134,Robert De Niro,1943,\N,"actor,producer,director","tt0101540,tt0081398,tt0077416,tt0075314"
nm0001550,Cathy Moriarty,1960,\N,"actress,soundtrack,archive_footage","tt0081398,tt0102951,tt1038919,tt0289848"
nm0000582,Joe Pesci,1943,\N,"actor,soundtrack,archive_footage","tt0099685,tt0081398,tt1302006,tt0104952"
nm0898634,Frank Vincent,1937,2017,"actor,producer,miscellaneous","tt0099685,tt0141842,tt0112641,tt0081398"
nm0170225,Nicholas Colasanto,1924,1985,"actor,director,miscellaneous","tt0083399,tt0081398,tt0074512,tt0068575"
nm0757854,Theresa Saldana,1954,2016,"actress,archive_footage","tt0101069,tt0081398,tt0077714,tt0087222"
nm0002869,Mario Gallo,1923,1984,actor,"tt0081398,tt0074751,tt0072417,tt0086192"
nm0012376,Frank Adonis,1935,2018,"actor,director,writer","tt0099685,tt0081398,tt0109040,tt0165798"
nm0095114,Joseph Bono,\N,\N,actor,"tt0099685,tt0081398,tt0112641,tt1302006"
nm0867666,Frank Topham,1918,1986,"actor,miscellaneous",tt0081398
nm0000432,Gene Hackman,1930,\N,"actor,producer,stunts","tt0067116,tt0095647,tt0265666,tt0105695"
nm0001659,Christopher Reeve,1952,2004,"actor,producer,miscellaneous","tt0078346,tt0086393,tt0094074,tt0081534"
nm0000885,Ned Beatty,1937,2021,"actor,soundtrack,archive_footage","tt0074958,tt0068473,tt0822854,tt0078346"
nm0178114,Jackie Cooper,1922,2011,"actor,director,producer","tt0078346,tt0081573,tt0086393,tt0094074"
nm0235243,Sarah Douglas,1952,\N,"actress,archive_footage,archive_sound","tt0078346,tt0081573,tt0087078,tt0839995"
nm0452288,Margot Kidder,1948,2018,"actress,producer,soundtrack","tt0078346,tt0071222,tt0081573,tt0078767"
nm0641172,Jack O'Halloran,1943,\N,"actor,producer,writer","tt0081573,tt0072973,tt0092925,tt0078346"
nm0674781,Valerie Perrine,1943,\N,"actress,archive_footage","tt0078346,tt0071746,tt0081573,tt0839995"
nm0948772,Susannah York,1939,2011,"actress,writer,soundtrack","tt0060665,tt0078346,tt0065088,tt0081573"
nm0001016,David Carradine,1936,2009,"actor,producer,director","tt0378194,tt0074235,tt0072856,tt0490086"
nm0001018,Keith Carradine,1949,\N,"actor,music_department,producer","tt0073440,tt0409847,tt0348914,tt0773262"
nm0001019,Robert Carradine,1954,\N,"actor,producer,director","tt0088000,tt0116225,tt0306841,tt0228333"
nm0005077,James Keach,1947,\N,"actor,director,producer","tt0085995,tt0081071,tt0358273,tt1296898"
nm0005078,Stacy Keach,1941,\N,"actor,producer,director","tt0116225,tt1194173,tt1821549,tt0078446"
nm0000598,Dennis Quaid,1954,\N,"actor,producer,music_department","tt0297884,tt0319262,tt0186151,tt0093260"
nm0001642,Randy Quaid,1950,\N,"actor,producer,writer","tt0116629,tt0070290,tt0097958,tt0116778"
nm0112403,Kevin Brophy,1953,\N,"actor,archive_footage","tt0082511,tt0081071,tt0075532,tt0097073"
nm0001013,Harry Carey Jr.,1921,2012,"actor,writer,producer","tt0108358,tt0049730,tt0087363,tt0099528"
nm0001302,Christopher Guest,1948,\N,"actor,writer,director","tt0088258,tt0118111,tt0310281,tt0218839"
nm0000142,Clint Eastwood,1930,\N,"actor,producer,director","tt0405159,tt1205489,tt0105695,tt0112579"
nm0516800,Sondra Locke,1944,2018,"actress,director,producer","tt0077523,tt0080472,tt0086383,tt0075029"
nm0507212,Geoffrey Lewis,1935,2015,"actor,writer,director","tt0202677,tt0072288,tt0395584,tt0077523"
nm0807448,William Smith,\N,\N,"sound_department,music_department,production_manager","tt0247082,tt0313043,tt0145660,tt0111999"
nm0345340,Harry Guardino,1925,1995,"actor,soundtrack,archive_footage","tt0074483,tt0066999,tt0051745,tt0055047"
nm0002106,Ruth Gordon,1896,1985,"actress,writer,soundtrack","tt0063522,tt0077523,tt0067185,tt0059314"
nm0146938,Michael Cavanaugh,1942,\N,"actor,archive_footage","tt0074483,tt0171363,tt0311289,tt0233469"
nm0179224,Barry Corbin,1940,\N,"actor,producer,miscellaneous","tt16358384,tt4236770,tt10323338,tt4998212"
nm0421772,Roy Jenson,1927,2007,"actor,stunts,archive_footage","tt0071315,tt0070723,tt0077523,tt0060490"
nm0571853,Bill McKinney,1931,2011,"actor,miscellaneous,soundtrack","tt0083944,tt0068473,tt0099088,tt0120689"
nm0923366,Marius Weyers,1945,\N,"actor,archive_footage","tt0080801,tt0450259,tt0083987,tt0097179"
nm0697865,Sandra Prinsloo,\N,\N,"actress,director,producer","tt0080801,tt8595478,tt6693960,tt0151131"
nm0618452,N!xau,1944,2003,"actor,archive_footage","tt0080801,tt0097443,tt0107102,tt0109788"
nm0895116,Louw Verwey,1930,\N,actor,"tt0080801,tt2034644,tt2035574,tt1841579"
nm0862347,Michael Thys,\N,\N,actor,tt0080801
nm0208910,Nic de Jager,\N,\N,"actor,director","tt0080801,tt4846298,tt6971714,tt2035510"
nm0796717,Fanyana H. Sidumo,\N,\N,actor,"tt0080801,tt0074542,tt0151131,tt0093525"
nm0780494,Joe Seakatsie,\N,\N,"actor,assistant_director,director","tt0080801,tt6424510,tt0095792,tt1765947"
nm0642598,Brian O'Shaughnessy,1931,2001,"actor,writer,miscellaneous","tt0080801,tt0367031,tt0105159,tt1956493"
nm0304027,Ken Gampu,1929,2003,"actor,assistant_director","tt0080801,tt0089421,tt0076270,tt0078492"
nm0000245,Robin Williams,1951,2014,"actor,writer,producer","tt0107614,tt0093105,tt0265459,tt0077053"
nm0001827,Ray Walston,1914,2001,"actor,soundtrack,archive_footage","tt0081353,tt0083929,tt0070735,tt0064782"
nm0233209,Paul Dooley,1928,\N,"actor,writer,producer","tt0078902,tt0427327,tt0081353,tt0088128"
nm0809544,Paul L. Smith,1936,2012,"actor,director,producer","tt0110478,tt0081353,tt0087182,tt0089893"
nm0508844,Richard Libertini,1933,2016,"actor,soundtrack,archive_footage","tt0081353,tt0099472,tt0089155,tt0086873"
nm0595567,Donald Moffat,1930,2018,"actor,archive_footage","tt0084787,tt0109444,tt0086197,tt0081353"
nm0228912,MacIntyre Dixon,1931,\N,"actor,archive_footage","tt0081353,tt0804497,tt0105265,tt0092494"
nm0561809,Roberta Maxwell,1941,\N,actress,"tt0081353,tt0119925,tt0080516,tt0388795"
nm0779073,Donovan Scott,1947,\N,"actor,assistant_director,director","tt0081353,tt0099088,tt0087928,tt0897361"
nm0000661,Donald Sutherland,1935,\N,"actor,producer,writer","tt1951264,tt0414387,tt0067309,tt1951265"
nm0001546,Mary Tyler Moore,1936,2017,"actress,producer,director","tt0081283,tt0065314,tt0054533,tt0062362"
nm0002139,Judd Hirsch,1935,\N,"actor,miscellaneous,producer","tt14208870,tt0116629,tt0077089,tt0268978"
nm0000459,Timothy Hutton,1960,\N,"actor,producer,director","tt0081283,tt1103987,tt0115639,tt0343737"
nm0001826,M. Emmet Walsh,1935,2024,"actor,producer,stunts","tt0086979,tt0083658,tt0079367,tt0119738"
nm0001527,Elizabeth McGovern,1961,\N,"actress,producer,writer","tt0081283,tt0099731,tt0087843,tt3750872"
nm0001503,Dinah Manoff,1956,\N,"actress,director,writer","tt0077631,tt0094862,tt0094455,tt0081283"
nm0499791,Fredric Lehne,1959,\N,"actor,director,writer","tt0119654,tt1345836,tt5838338,tt0081283"
nm0797725,James Sikking,1934,\N,"actor,soundtrack,archive_footage","tt0107798,tt0088170,tt0082869,tt0332047"
nm0388819,Basil Hoffman,1938,2021,"actor,miscellaneous,archive_footage","tt0362478,tt0475290,tt1655442,tt2125663"
nm0000323,Michael Caine,1933,\N,"actor,producer,miscellaneous","tt0468569,tt3312830,tt0124315,tt0482571"
nm0001141,Angie Dickinson,1931,\N,"actress,soundtrack,archive_footage","tt0053221,tt0080661,tt0114319,tt0062138"
nm0000262,Nancy Allen,1950,\N,"actress,soundtrack,archive_footage","tt0093870,tt0080661,tt0107978,tt0100502"
nm0330360,Keith Gordon,1961,\N,"director,actor,producer","tt0102443,tt0127349,tt0117093,tt2802850"
nm0001240,Dennis Franz,1944,\N,"actor,writer,producer","tt0106079,tt0120632,tt0099423,tt0080661"
nm0546868,David Margulies,1937,2016,"actor,archive_footage","tt0087332,tt0097428,tt0109040,tt0080661"
nm0048643,Ken Baker,\N,\N,"assistant_director,actor,visual_effects","tt0096446,tt0355295,tt0086393,tt0091369"
nm0166290,Susanna Clemm,\N,\N,actress,"tt0080661,tt0076999,tt0185876,tt0237349"
nm0535933,Brandon Maggart,1933,\N,"actor,producer,soundtrack","tt0080661,tt0081793,tt0086677,tt0084917"
nm0171876,Amalie Collier,\N,\N,actress,"tt0080661,tt0085873"
nm0005412,Jane Seymour,1951,\N,"actress,producer,soundtrack","tt0103405,tt0081534,tt0070328,tt0396269"
nm0001626,Christopher Plummer,1929,2021,"actor,producer,music_department","tt1532503,tt0140352,tt3704050,tt5294550"
nm0942863,Teresa Wright,1918,2005,"actress,soundtrack,archive_footage","tt0036342,tt0036868,tt0035093,tt0081534"
nm0259984,Bill Erwin,1914,2010,"actor,miscellaneous,soundtrack","tt0093748,tt0081534,tt0099785,tt0114660"
nm0903667,George Voskovec,1905,1981,"actor,writer,soundtrack","tt0050083,tt0081534,tt0070212,tt0025248"
nm0294215,Susan French,1912,2003,"actress,archive_footage","tt0081534,tt0091223,tt0077766,tt0099582"
nm0023569,John Alvin,1917,2009,"actor,archive_footage","tt0081534,tt0038338,tt0035799,tt0086765"
nm0301841,Eddra Gale,1921,2001,"actress,archive_footage","tt0056801,tt0061722,tt0081534,tt0059903"
nm0071599,Audrey Bennett,\N,\N,actress,tt0081534
nm0058532,Eddie Barth,1931,2010,"actor,soundtrack,archive_footage","tt0080716,tt0120595,tt0066808,tt0078767"
nm0001011,Irene Cara,1959,2022,"music_artist,actress,music_department","tt0080716,tt0085549,tt0075249,tt0085387"
nm0001087,Lee Curreri,1961,\N,"actor,composer,sound_department","tt0083412,tt0080716,tt0405473,tt0480239"
nm0212847,Laura Dean,1963,\N,"actress,soundtrack,archive_footage","tt0080716,tt0299658,tt0108778,tt0091584"
nm0289900,Antonia Franceschi,1960,\N,"actress,archive_footage","tt0080716,tt0077631,tt0200669,tt13800816"
nm0301305,Boyd Gaines,1953,\N,"actor,soundtrack,archive_footage","tt0091187,tt0084522,tt0808279,tt0090103"
nm0353831,Albert Hague,1920,2001,"actor,composer,music_department","tt0117705,tt0080716,tt0170016,tt0083412"
nm0400955,Tresa Hughes,1929,2011,actress,"tt0080716,tt0112883,tt0108159,tt0088765"
nm0409481,Steve Inwood,1947,\N,"actor,archive_footage","tt0080569,tt0086361,tt0080716,tt0090481"
nm0005204,Paul McCrane,1961,\N,"actor,director,producer","tt0108757,tt0355853,tt0108909,tt10329042"
nm0000105,Adrienne Barbeau,1945,\N,"actress,soundtrack,writer","tt0082340,tt0090685,tt0083767,tt0080749"
nm0000130,Jamie Lee Curtis,1958,\N,"actress,producer,director","tt1502407,tt6710474,tt0111503,tt0120694"
nm0001463,Janet Leigh,1927,2004,"actress,producer,miscellaneous","tt0054215,tt0056218,tt0052311,tt0080749"
nm0002144,John Houseman,1902,1988,"actor,producer,writer","tt0070509,tt0073631,tt0073802,tt0080749"
nm0040662,Tom Atkins,1935,\N,"actor,archive_footage","tt0085636,tt0091630,tt0080749,tt1179891"
nm0134110,James Canning,1946,\N,actor,"tt0080749,tt0077270,tt0068098,tt0079103"
nm0194234,Charles Cyphers,1939,\N,"actor,archive_footage","tt0077651,tt0097815,tt0074156,tt0080749"
nm0477341,Nancy Kyes,1949,\N,"actress,costume_department,archive_footage","tt0077651,tt0080749,tt0074156,tt0085636"
nm0593792,Ty Mitchell,\N,\N,"camera_department,actor,cinematographer","tt0080749,tt0405336,tt0810988,tt0082495"
nm0001358,Hal Holbrook,1925,2021,"actor,director,writer","tt0758758,tt0443272,tt0074119,tt0083767"
nm0000698,Gene Wilder,1933,2016,"actor,writer,director","tt0067992,tt0072431,tt0063462,tt0098282"
nm0001640,Richard Pryor,1940,2005,"actor,writer,producer","tt0086393,tt0082121,tt0098282,tt0081562"
nm0113617,Georg Stanford Brown,1943,\N,"actor,director,producer","tt0081562,tt0075572,tt0062765,tt0081873"
nm0001851,JoBeth Williams,1948,\N,"actress,producer,director","tt0084516,tt0085244,tt0091778,tt0079417"
nm0840822,Miguel Ángel Suárez,1939,2009,"actor,director,writer","tt0066808,tt0081562,tt0164212,tt0892255"
nm0005266,Craig T. Nelson,1944,\N,"actor,producer,director","tt0096560,tt0317705,tt0356680,tt0084516"
nm0919714,Charles Weldon,1940,2018,"actor,producer","tt0081562,tt0104797,tt0108876,tt0078509"
nm0182661,Nicolas Coster,1933,2023,"actor,producer,miscellaneous","tt0086793,tt1688612,tt0074119,tt0092455"
nm0112063,Joel Brooks,1949,\N,actor,"tt0081562,tt0107211,tt0106145,tt0340281"
nm0000199,Al Pacino,1940,\N,"actor,director,producer","tt0070666,tt0072890,tt0068646,tt0099422"
nm0000649,Paul Sorvino,1939,2022,"actor,director,producer","tt0963194,tt0099685,tt0102803,tt0113987"
nm0000261,Karen Allen,1951,\N,"actress,director,soundtrack","tt0082971,tt0088172,tt0367882,tt0077975"
nm0185210,Richard Cox,1948,\N,"actor,soundtrack","tt0080569,tt0092172,tt0073988,tt0313043"
nm0769135,Don Scardino,1949,\N,"director,producer,actor","tt0790628,tt0496424,tt1845307,tt4094300"
nm0818874,Joe Spinell,1936,1989,"actor,writer,producer","tt0075314,tt0075148,tt0081114,tt0071562"
nm0010264,Jay Acovone,1955,\N,"actor,archive_footage","tt5164196,tt4936406,tt0364845,tt9144756"
nm0432921,Randy Jurgensen,1933,\N,"actor,producer,miscellaneous","tt0076740,tt0078346,tt0112864,tt0067116"
nm0382263,Barton Heyman,1937,1996,"actor,archive_footage","tt0070047,tt0112461,tt0105217,tt0067341"
nm0204634,Gene Davis,1952,\N,"actor,producer,archive_footage","tt0091209,tt0120004,tt0105698,tt0085121"
nm0001434,Kris Kristofferson,1936,\N,"music_artist,actor,composer","tt0120611,tt0120784,tt0187738,tt0075265"
nm0000686,Christopher Walken,1943,\N,"actor,producer,miscellaneous","tt0077416,tt0264464,tt0427327,tt1931533"
nm0000457,John Hurt,1940,2017,"actor,soundtrack,archive_footage","tt0087803,tt0078748,tt0080678,tt0077928"
nm0001832,Sam Waterston,1940,\N,"actor,producer,director","tt0087553,tt0071577,tt0098844,tt0111127"
nm0000374,Brad Dourif,1950,\N,"actor,archive_footage,archive_sound","tt0167261,tt0073486,tt0095647,tt0087182"
nm0001376,Isabelle Huppert,1953,\N,"actress,music_department,producer","tt3716530,tt0283832,tt0254686,tt4120176"
nm0001072,Joseph Cotten,1905,1994,"actor,writer,soundtrack","tt0041959,tt0033467,tt0036855,tt0035015"
nm0000313,Jeff Bridges,1949,\N,"actor,producer,art_department","tt0118715,tt1263670,tt0088172,tt1403865"
nm0370214,Ronnie Hawkins,1935,2022,"actor,soundtrack,archive_footage","tt0080855,tt0077838,tt0093176,tt0078151"
nm0467178,Paul Koslo,1944,2019,"actor,producer,assistant_director","tt0067525,tt0067927,tt0102800,tt0066126"
nm0000018,Kirk Douglas,1916,2020,"actor,producer,director","tt0080736,tt0054331,tt0049456,tt0050825"
nm0000640,Martin Sheen,1940,\N,"actor,producer,director","tt0407887,tt0069762,tt0078788,tt1441912"
nm0001684,Katharine Ross,1940,\N,"actress,writer,soundtrack","tt0061722,tt0064115,tt0073747,tt0246578"
nm0267232,James Farentino,1938,2012,"actor,soundtrack,archive_footage","tt0080736,tt0115783,tt0075520,tt0081856"
nm0641938,Ron O'Neal,1937,2004,"actor,director,writer","tt0087985,tt0069332,tt0080736,tt0070753"
nm0001164,Charles Durning,1923,2012,"actor,miscellaneous,soundtrack","tt0072890,tt0080736,tt0079588,tt0190590"
nm0595991,Victor Mohica,1933,2019,actor,"tt0080736,tt0073210,tt0106469,tt0081873"
nm0171061,James Coleman,\N,\N,actor,"tt0344025,tt0028500"
nm0644902,Soon-Tek Oh,1932,2018,"actor,soundtrack,archive_footage","tt0120762,tt0118708,tt0071807,tt0080736"
nm0000556,Olivia Newton-John,1948,2022,"music_artist,actress,music_department","tt0077631,tt0081777,tt0086494,tt0119094"
nm0000037,Gene Kelly,1912,1996,"actor,miscellaneous,director","tt0045152,tt0043278,tt0053946,tt0041716"
nm0065235,Michael Beck,1949,\N,"actor,archive_footage","tt0080120,tt0081777,tt0084316,tt0115285"
nm0806277,James Sloyan,1940,\N,actor,"tt0070735,tt0092455,tt0112178,tt0106145"
nm0035195,Dimitra Arliss,1932,2012,"actress,sound_department,archive_sound","tt0070735,tt0083943,tt0056758,tt0106728"
nm0360088,Katie Hanley,1949,\N,"actress,soundtrack","tt0070121,tt0081777,tt0073972,tt0078585"
nm0564985,Fred McCarren,1951,2006,actor,"tt0076095,tt0083470,tt0077012,tt0092450"
nm0940758,Renn Woods,1958,\N,"actress,soundtrack,archive_footage","tt12537234,tt3545908"
nm0000922,Sandahl Bergman,1951,\N,"actress,miscellaneous,soundtrack","tt0082198,tt0089893,tt0090009,tt0093171"
nm0004263,Lynne Latham,\N,\N,"actress,casting_department,miscellaneous","tt0075485,tt0081777,tt0082474,tt0084273"
nm0000237,John Travolta,1954,\N,"actor,producer,music_department","tt0110912,tt0113161,tt0076666,tt0077631"
nm0000700,Debra Winger,1955,\N,"actress,producer,miscellaneous","tt0086425,tt0084434,tt1084950,tt0081696"
nm0001277,Scott Glenn,1939,\N,"actor,producer,stunts","tt0099810,tt1194173,tt0102926,tt0101393"
nm0001750,Madolyn Smith Osborne,1957,\N,actress,"tt0086837,tt0086873,tt0081696,tt0095188"
nm0017574,Brooke Alderson,\N,\N,actress,"tt0113501,tt0081696,tt0091051,tt0085000"
nm0399590,Cooper Huckabee,1951,\N,"actor,archive_footage","tt0107007,tt0082427,tt0186566,tt0144214"
nm0304000,James Gammon,1940,2010,"actor,archive_footage","tt0097815,tt0159365,tt0090021,tt0129167"
nm0319076,Mickey Gilley,1936,2022,"actor,producer,writer","tt0086461,tt0088287,tt2153963,tt14270652"
nm0496739,Johnny Lee,1898,1965,"actor,soundtrack,archive_footage","tt0038969,tt0043175,tt0022692,tt0040176"
nm0000458,William Hurt,1950,2022,"actor,producer,archive_footage","tt0399146,tt0120738,tt0092699,tt0080360"
nm0001974,Blair Brown,1946,\N,"actress,director,producer","tt0092336,tt0080360,tt0186566,tt0138304"
nm0000837,Bob Balaban,1945,\N,"actor,director,producer","tt0280707,tt0310281,tt0075860,tt0379725"
nm0354024,Charles Haid,1943,\N,"actor,director,producer","tt0080360,tt0100260,tt0299172,tt0108757"
nm0671837,Thaao Penghlis,1945,\N,"actor,archive_footage","tt0058796,tt0080360,tt0094511,tt0186779"
nm0324196,Miguel Godreau,1946,1996,"actor,miscellaneous","tt0080360,tt0789767,tt0075294,tt0082397"
nm0107467,Dori Brenner,1946,2000,actress,"tt0080360,tt0092605,tt0092332,tt0101902"
nm0104793,Peter Brandon,1926,1983,actor,"tt0080360,tt0159876,tt0073952,tt0068149"
nm0925618,Charles White-Eagle,\N,\N,actor,"tt0080360,tt0076818,tt0082001,tt0073979"
nm0000106,Drew Barrymore,1975,\N,"producer,actress,director","tt0160127,tt0151738,tt0343660,tt0120631"
nm0001575,Tatum O'Neal,1963,\N,"actress,producer,soundtrack","tt0070510,tt0074174,tt1017451,tt0081060"
nm0001531,Kristy McNichol,1962,\N,"actress,producer,soundtrack","tt0084504,tt0081060,tt0096324,tt0082853"
nm0000800,Armand Assante,1949,\N,"actor,producer,stunts","tt0116441,tt0765429,tt0104802,tt0113492"
nm0000369,Matt Dillon,1964,\N,"actor,director,producer","tt0129387,tt0375679,tt0097240,tt4003440"
nm0089984,Margaret Blye,1939,2016,"actress,archive_footage","tt0064505,tt0073092,tt0082334,tt0061770"
nm0259799,Krista Errickson,1964,\N,"actress,producer,soundtrack","tt0081060,tt0078623,tt0098749,tt0077003"
nm0447782,Alexa Kenin,1962,1985,"actress,soundtrack","tt0091790,tt0081060,tt0086140,tt0084088"
nm0089579,Abby Bluestone,\N,\N,"talent_agent,actress","tt0081060,tt0081230"
nm0633223,Cynthia Nixon,1966,\N,"actress,producer,director","tt1261945,tt0159206,tt4288636,tt1000774"
