role_id,name
role_d7f0fb51,Jack Torrance
role_6ddf8dce,Wendy Torrance
role_ef4e58a6,Danny
role_ef8b9718,Hallorann
role_678da032,Ullman
role_d497f93b,Grady
role_eb8a6c67,Lloyd
role_29b3cad2,Doctor
role_158a7fa2,Durkin
role_5783b938,Young Woman in Bath
role_4cc28500,Emmeline Lestrange
role_d26f3afb,Richard Lestrange
role_57fb80e6,Paddy Button
role_c3607be5,Arthur Lestrange
role_df2b54ba,Young Emmeline
role_688dbd44,Young Richard
role_e9e95214,Captain
role_2b5bd08b,Officer
role_d123c709,Lookout
role_04fca4c1,Little Paddy
role_938bf17d,Luke Skywalker
role_2697d75e,Han Solo
role_c389cc02,Princess Leia
role_7e2c3353,Lando Calrissian
role_3f8ed8f8,C-3PO
role_b9816333,Darth Vader
role_0074d30f,Chewbacca
role_65af76ec,R2-D2
role_caa19379,Yoda
role_4be6dea2,Ben (Obi-Wan) Kenobi
role_c0e34b23,Roger Murdock
role_0c9c3490,Steve McCroskey
role_c696f784,Captain Clarence Oveur
role_9a8c7ebf,Elaine Dickinson
role_b0e3768f,Ted Striker
role_9895e5f8,Dr. Rumack
role_b7dd9ccb,Randy
role_3d546c4d,Captain Rex Kramer
role_ed4d47ef,Johnny Henshaw-Jacobs
role_ab729ce4,Otto
role_51b34400,Ty Webb
role_10625811,Al Czervik
role_87115035,Judge Elihu Smails
role_21d97b2c,Danny Noonan
role_0a9da4e9,Carl Spackler
role_017f6ab7,Maggie O'Hooligan
role_1d16f415,Tony D'Annunzio
role_1a2edb93,Lacey Underall
role_dfa58e95,Dr. Beeper
role_9ef0a8eb,The Bishop
role_7ac44724,Mrs. Voorhees
role_6c3cfb59,Alice
role_da6a4880,Marcie
role_7165e857,Annie
role_1a6c9761,Jack
role_5f19b8ee,Bill
role_3110c260,Brenda
role_b7f6993e,Ned
role_9b4c0345,Steve Christy
role_d0c76aa2,The Truck Driver
role_71fb3ee7,Prison Guard
role_ff1ec494,Prison Guard
role_da8f7b95,Joliet Jake
role_7a8eb0af,Prison Guard
role_df446e9a,Corrections Officer
role_da6c9852,Elwood
role_7e23e531,Sister Mary Stigmata
role_4dd9be0f,Curtis
role_f990c65a,Choirmaster
role_1429c51b,Reverend Cleophus James
role_6a62218a,Jake La Motta
role_2c6c53ee,Vickie La Motta
role_74e1e82c,Joey
role_3bf01130,Salvy
role_7feaf13f,Tommy Como
role_bed002aa,Lenore
role_f4e38df0,Mario
role_41d6572a,Patsy
role_da0f21c1,Guido
role_4d3cf5e0,Toppy
role_ddba153e,Lex Luthor
role_25b99954,Superman
role_d6ac99c5,Clark Kent
role_794dc28e,Otis
role_803a3905,Perry White
role_a42e28af,Ursa
role_edabd735,Lois Lane
role_9a3dc3e1,Non
role_eb267926,Eve Teschmacher
role_07190445,Lara
role_6bf9434c,Cole Younger
role_f85cae5e,Jim Younger
role_c2f32b5a,Bob Younger
role_418d816b,Jesse James
role_b4326839,Frank James
role_009805ba,Ed Miller
role_6de30331,Clell Miller
role_631ba823,John Younger
role_7e26e5b5,George Arthur
role_181db88e,Charlie Ford
role_94bd202e,Philo Beddoe
role_e78e90e8,Lynn Halsey-Taylor
role_402eda99,Orville
role_3914757f,Jack Wilson
role_a2ef8ac7,James Beekman
role_5cb24fb1,Ma
role_d557d1a1,Patrick Scarfe
role_ca8b768b,Fat Zack
role_a905deef,Moody
role_56755264,Dallas
role_1f345a46,Andrew Steyn
role_88afe2de,Kate Thompson
role_c8f5b996,Xi
role_609e2ee8,Sam Boga
role_a64b8b77,Mpudi
role_b83517f8,Jack Hind
role_ead01009,Card 1
role_dab86cf1,Card 2
role_8e9920f1,Mr. Thompson
role_da5036aa,President
role_2287d156,Popeye
role_45d334d2,Olive Oyl
role_2b576984,Poopdeck Pappy
role_ce73122d,Wimpy
role_44d3b89e,Bluto
role_f0c4362c,Geezil
role_65eb4df0,The Taxman
role_d339fc95,Cole Oyl
role_58cc52f4,Nana Oyl
role_a558bb88,Castor Oyl
role_a5b34b8c,Calvin Jarrett
role_ff1abd33,Beth Jarrett
role_5bd2c745,Dr. Tyrone Berger
role_ce5c4628,Conrad Jarrett
role_dddd9044,Salan - The Swim Coach
role_3d9a4b0b,Jeannine Pratt
role_3dadc37f,Karen
role_0bf47acc,Joe Lazenby
role_cae0b069,Ray
role_92b728ec,Sloan
role_707d8e54,Dr. Robert Elliott
role_4cc8d3ff,Kate Miller
role_3f0efead,Liz Blake
role_f8e4a856,Peter Miller
role_1f0f81e3,Detective Marino
role_b336d7dd,Dr. Levy
role_72746af5,Warren Lockman
role_5dca44bb,Betty Luce
role_878e1137,Cleveland Sam
role_76f719f4,Cleaning Woman
role_00079e4c,Richard Collier
role_d0f4a225,Elise McKenna
role_a95e511f,W. F. Robinson
role_50749eb4,Laura Roberts
role_0330ce99,Arthur Biehl
role_c5d50ce1,Dr. Gerald Finney
role_51cbcbf4,Older Elise
role_f6969f83,Arthur's Father
role_159c720c,Genevieve
role_5a43e552,Richard's Date (1972)
role_5f08b33f,Angelo
role_b3939995,Coco
role_9a90075b,Bruno
role_6fca4380,Lisa
role_2841728f,Hilary
role_52dd9188,Michael
role_cc5db1cc,Shorofsky
role_a0a3e8fc,Mrs. Finsecker
role_3141fa23,François Lafete
role_6bbfdfa3,Montgomery
role_fc7629a4,Stevie Wayne
role_cc9c6be3,Elizabeth Solley
role_864942d2,Kathy Williams
role_6b6947a5,Mr. Machen
role_e51f6f62,Nick Castle
role_15ad09f5,Dick Baxter
role_c38fccc9,Dan O'Bannon
role_88971a56,Sandy Fadel
role_a5cb9472,Andy Wayne
role_40e0ae27,Father Malone
role_06d1aa32,Skip Donahue
role_f68eaf05,Harry Monroe
role_26cb2427,Rory Schultebrand
role_bc0ae611,Meredith
role_62a61a3c,Jesus Ramirez
role_75a81246,Deputy Ward Wilson
role_dc06d851,Warden Walter Beatty
role_271d9cc3,Blade
role_5329c907,Warden Henry Sampson
role_76425b3f,Len Garber
role_a4088bf6,Steve Burns
role_2898fc88,Capt. Edelson
role_e142e2e8,Nancy
role_50575ae3,Stuart Richards
role_c8d513f0,Ted Bailey
role_2b90656e,Patrolman DiSimone
role_c092405a,Skip Lee
role_1b9a4ec2,Det. Lefransky
role_348c54da,Dr. Rifkin
role_635b68c3,DaVinci
role_95cd6722,Averill
role_fb1c6bbc,Champion
role_d4bbf0ef,Irvine
role_daf5e9f1,Canton
role_6820004c,Mr. Eggleston
role_f6416d19,Ella
role_ab3ab638,The Reverend Doctor
role_75e2277b,John L. Bridges
role_36265621,Wolcott
