genre_id,movie_id
gen_9100c731,tt3722070
gen_004bf6c9,tt0467110
gen_c967a0db,tt2221640
gen_e6b99f24,tt0425253
gen_6dd1b5dd,tt0218619
gen_004bf6c9,tt1121096
gen_e6b99f24,tt0091188
gen_004bf6c9,tt1235189
gen_dc1d2a4d,tt3850214
gen_004bf6c9,tt0086192
gen_205b8c9a,tt0141974
gen_205b8c9a,tt0105316
gen_dc1d2a4d,tt1753383
gen_205b8c9a,tt0105046
gen_9100c731,tt3289724
gen_205b8c9a,tt0113540
gen_d6b6b668,tt0114108
gen_004bf6c9,tt1615160
gen_205b8c9a,tt0097194
gen_e6b99f24,tt1086772
gen_205b8c9a,tt7985692
gen_e6b99f24,tt0083254
gen_004bf6c9,tt0090693
gen_e6b99f24,tt0372824
gen_e6b99f24,tt3009772
gen_205b8c9a,tt0989757
gen_c967a0db,tt0276919
gen_9100c731,tt6802308
gen_dc1d2a4d,tt0090357
gen_205b8c9a,tt0084714
gen_004bf6c9,tt0107144
gen_e6b99f24,tt6791096
gen_004bf6c9,tt0080455
gen_205b8c9a,tt0064787
gen_d6b6b668,tt0112389
gen_205b8c9a,tt0118564
gen_e6b99f24,tt0098536
gen_6dd1b5dd,tt0097263
gen_205b8c9a,tt0095652
gen_205b8c9a,tt0098575
gen_6dd1b5dd,tt2387433
gen_6dd1b5dd,tt0087746
gen_205b8c9a,tt0095286
gen_205b8c9a,tt0460890
gen_205b8c9a,tt0102753
gen_004bf6c9,tt1905041
gen_e6b99f24,tt0889573
gen_004bf6c9,tt0258038
gen_dc1d2a4d,tt1444308
gen_004bf6c9,tt0311113
gen_004bf6c9,tt6905696
gen_205b8c9a,tt0104291
gen_c967a0db,tt0968264
gen_205b8c9a,tt1645769
gen_205b8c9a,tt0079080
gen_004bf6c9,tt1509767
gen_dc1d2a4d,tt0101452
gen_205b8c9a,tt0102138
gen_6dd1b5dd,tt0080749
gen_004bf6c9,tt0103184
gen_e6b99f24,tt0109480
gen_004bf6c9,tt0090022
gen_205b8c9a,tt0120716
gen_e6b99f24,tt0479500
gen_9100c731,tt0095243
gen_004bf6c9,tt0099365
gen_004bf6c9,tt0087065
gen_e6b99f24,tt0103873
gen_205b8c9a,tt0080888
gen_e6b99f24,tt0084917
